日付,始値,高値,安値,終値
2022年02月28日 07:30,115.61,115.61,115.525,115.538
2022年02月28日 07:40,115.538,115.57,115.51,115.52
2022年02月28日 07:50,115.52,115.56,115.45,115.505
2022年02月28日 08:00,115.511,115.524,115.371,115.48
2022年02月28日 08:10,115.481,115.647,115.474,115.623
2022年02月28日 08:20,115.625,115.733,115.611,115.668
2022年02月28日 08:30,115.668,115.704,115.601,115.604
2022年02月28日 08:40,115.604,115.629,115.583,115.593
2022年02月28日 08:50,115.593,115.611,115.55,115.582
2022年02月28日 09:00,115.582,115.664,115.558,115.607
2022年02月28日 09:10,115.607,115.615,115.555,115.569
2022年02月28日 09:20,115.567,115.617,115.55,115.591
2022年02月28日 09:30,115.592,115.622,115.57,115.579
2022年02月28日 09:40,115.579,115.585,115.498,115.517
2022年02月28日 09:50,115.516,115.572,115.453,115.571
2022年02月28日 10:00,115.57,115.597,115.505,115.554
2022年02月28日 10:10,115.558,115.592,115.558,115.58
2022年02月28日 10:20,115.581,115.589,115.535,115.569
2022年02月28日 10:30,115.569,115.586,115.496,115.496
2022年02月28日 10:40,115.505,115.594,115.491,115.531
2022年02月28日 10:50,115.532,115.568,115.509,115.513
2022年02月28日 11:00,115.514,115.518,115.478,115.503
2022年02月28日 11:10,115.504,115.508,115.455,115.483
2022年02月28日 11:20,115.483,115.513,115.476,115.506
2022年02月28日 11:30,115.507,115.51,115.458,115.481
2022年02月28日 11:40,115.48,115.495,115.439,115.456
2022年02月28日 11:50,115.457,115.491,115.444,115.489
2022年02月28日 12:00,115.489,115.504,115.444,115.476
2022年02月28日 12:10,115.476,115.513,115.468,115.505
2022年02月28日 12:20,115.505,115.532,115.482,115.511
2022年02月28日 12:30,115.51,115.55,115.507,115.544
2022年02月28日 12:40,115.543,115.544,115.473,115.501
2022年02月28日 12:50,115.501,115.53,115.5,115.517
2022年02月28日 13:00,115.519,115.546,115.517,115.533
2022年02月28日 13:10,115.534,115.547,115.53,115.545
2022年02月28日 13:20,115.544,115.548,115.522,115.523
2022年02月28日 13:30,115.523,115.53,115.493,115.506
2022年02月28日 13:40,115.505,115.686,115.487,115.64
2022年02月28日 13:50,115.641,115.641,115.566,115.569
2022年02月28日 14:00,115.569,115.575,115.536,115.548
2022年02月28日 14:10,115.547,115.565,115.538,115.545
2022年02月28日 14:20,115.545,115.552,115.519,115.524
2022年02月28日 14:30,115.524,115.556,115.523,115.546
2022年02月28日 14:40,115.546,115.547,115.504,115.525
2022年02月28日 14:50,115.526,115.548,115.507,115.538
2022年02月28日 15:00,115.538,115.542,115.484,115.506
2022年02月28日 15:10,115.506,115.52,115.48,115.489
2022年02月28日 15:20,115.489,115.528,115.482,115.517
2022年02月28日 15:30,115.517,115.526,115.497,115.526
2022年02月28日 15:40,115.526,115.532,115.507,115.527
2022年02月28日 15:50,115.526,115.558,115.521,115.535
2022年02月28日 16:00,115.534,115.543,115.514,115.529
2022年02月28日 16:10,115.529,115.546,115.487,115.5
2022年02月28日 16:20,115.5,115.537,115.481,115.498
2022年02月28日 16:30,115.498,115.553,115.483,115.55
2022年02月28日 16:40,115.551,115.58,115.536,115.546
2022年02月28日 16:50,115.546,115.546,115.486,115.495
2022年02月28日 17:00,115.495,115.553,115.452,115.54
2022年02月28日 17:10,115.54,115.554,115.532,115.551
2022年02月28日 17:20,115.55,115.571,115.521,115.537
2022年02月28日 17:30,115.537,115.619,115.521,115.61
2022年02月28日 17:40,115.61,115.617,115.576,115.592
2022年02月28日 17:50,115.592,115.596,115.54,115.561
2022年02月28日 18:00,115.561,115.591,115.554,115.566
2022年02月28日 18:10,115.567,115.57,115.539,115.565
2022年02月28日 18:20,115.565,115.588,115.554,115.576
2022年02月28日 18:30,115.576,115.58,115.522,115.523
2022年02月28日 18:40,115.523,115.544,115.502,115.528
2022年02月28日 18:50,115.529,115.573,115.527,115.545
2022年02月28日 19:00,115.545,115.577,115.541,115.554
2022年02月28日 19:10,115.554,115.601,115.536,115.596
2022年02月28日 19:20,115.596,115.638,115.593,115.596
2022年02月28日 19:30,115.596,115.606,115.563,115.596
2022年02月28日 19:40,115.596,115.603,115.577,115.586
2022年02月28日 19:50,115.586,115.593,115.533,115.553
2022年02月28日 20:00,115.552,115.581,115.538,115.557
2022年02月28日 20:10,115.557,115.569,115.548,115.559
2022年02月28日 20:20,115.559,115.569,115.538,115.547
2022年02月28日 20:30,115.547,115.564,115.52,115.525
2022年02月28日 20:40,115.525,115.543,115.511,115.541
2022年02月28日 20:50,115.541,115.549,115.52,115.538
2022年02月28日 21:00,115.538,115.562,115.523,115.535
2022年02月28日 21:10,115.534,115.554,115.532,115.546
2022年02月28日 21:20,115.547,115.548,115.52,115.543
2022年02月28日 21:30,115.542,115.547,115.515,115.519
2022年02月28日 21:40,115.519,115.529,115.496,115.5
2022年02月28日 21:50,115.5,115.528,115.497,115.508
2022年02月28日 22:00,115.507,115.514,115.452,115.469
2022年02月28日 22:10,115.469,115.5,115.461,115.499
2022年02月28日 22:20,115.499,115.505,115.459,115.475
2022年02月28日 22:30,115.475,115.481,115.371,115.402
2022年02月28日 22:40,115.402,115.41,115.363,115.386
2022年02月28日 22:50,115.387,115.388,115.312,115.321
2022年02月28日 23:00,115.32,115.361,115.305,115.343
2022年02月28日 23:10,115.343,115.384,115.316,115.342
2022年02月28日 23:20,115.343,115.343,115.284,115.3
2022年02月28日 23:30,115.3,115.348,115.226,115.242
2022年02月28日 23:40,115.242,115.244,115.152,115.219
2022年02月28日 23:50,115.217,115.287,115.214,115.274
2022年03月01日 00:00,115.275,115.276,115.274,115.274
2022年03月01日 10:30,115.201,115.211,115.179,115.181
2022年03月01日 10:40,115.181,115.205,115.177,115.186
2022年03月01日 10:50,115.187,115.194,115.165,115.187
2022年03月01日 11:00,115.187,115.213,115.168,115.211
2022年03月01日 11:10,115.211,115.216,115.185,115.212
2022年03月01日 11:20,115.212,115.216,115.199,115.206
2022年03月01日 11:30,115.206,115.211,115.141,115.146
2022年03月01日 11:40,115.145,115.193,115.133,115.181
2022年03月01日 11:50,115.181,115.184,115.151,115.18
2022年03月01日 12:00,115.18,115.182,115.138,115.154
2022年03月01日 12:10,115.155,115.187,115.153,115.171
2022年03月01日 12:20,115.172,115.176,115.159,115.162
2022年03月01日 12:30,115.162,115.177,115.142,115.171
2022年03月01日 12:40,115.171,115.173,115.139,115.145
2022年03月01日 12:50,115.146,115.148,115.128,115.146
2022年03月01日 13:00,115.146,115.177,115.139,115.169
2022年03月01日 13:10,115.169,115.174,115.147,115.158
2022年03月01日 13:20,115.158,115.173,115.156,115.165
2022年03月01日 13:30,115.164,115.166,115.128,115.133
2022年03月01日 13:40,115.133,115.144,115.113,115.131
2022年03月01日 13:50,115.132,115.136,115.111,115.134
2022年03月01日 14:00,115.133,115.154,115.118,115.136
2022年03月01日 14:10,115.136,115.136,115.068,115.069
2022年03月01日 14:20,115.069,115.079,115.047,115.063
2022年03月01日 14:30,115.062,115.062,115.012,115.03
2022年03月01日 14:40,115.03,115.046,115.02,115.023
2022年03月01日 14:50,115.023,115.064,115.01,115.051
2022年03月01日 15:00,115.051,115.109,115.051,115.077
2022年03月01日 15:10,115.077,115.098,115.07,115.091
2022年03月01日 15:20,115.092,115.105,115.067,115.091
